,basDt,idxNm,idxCsf,epyItmsCnt,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgMrktTotAmt,lsYrEdVsFltRg,lsYrEdVsFltRt,yrWRcrdHgst,yrWRcrdHgstDt,yrWRcrdLwst,yrWRcrdLwstDt,basPntm,basIdx
0,20251226,코스피,KOSPI시리즈,843,4129.68,21.06,.51,4130.37,4143.14,4116.53,510161651,16273592100742,3409552385683355,1730,72.11,4221.87,20251103,0,20251229,19800104,100
1,20251224,코스피,KOSPI시리즈,843,4108.62,-8.7,-.21,4136.24,4137.2,4106.62,363613812,12114977293960,3391545827207752,1709,71.23,4221.87,20251103,0,20251226,19800104,100
2,20251223,코스피,KOSPI시리즈,843,4117.32,11.39,.28,4127.4,4140.84,4110.25,385848331,13460733860454,3398648765464528,1718,71.59,4221.87,20251103,0,20251224,19800104,100
3,20251222,코스피,KOSPI시리즈,843,4105.93,85.38,2.12,4096.26,4105.93,4083.13,315627058,13013701888375,3389012795126445,1706,71.12,4221.87,20251103,0,20251223,19800104,100
4,20251219,코스피,KOSPI시리즈,843,4020.55,26.04,.65,4055.78,4055.78,3997.05,442664473,16470368044849,3318795642740196,1621,67.56,4221.87,20251103,0,20251222,19800104,100
5,20251218,코스피,KOSPI시리즈,843,3994.51,-61.9,-1.53,3989.6,4030.65,3975.5,581445413,13077588489472,3297132526737519,1595,66.47,4221.87,20251103,0,20251219,19800104,100
6,20251217,코스피,KOSPI시리즈,843,4056.41,57.28,1.43,4019.43,4060.24,3994.65,360955505,12968279650414,3348121946855785,1657,69.05,4221.87,20251103,0,20251218,19800104,100
7,20251216,코스피,KOSPI시리즈,843,3999.13,-91.46,-2.24,4093.32,4099.01,3996.23,373989521,16525587865207,3298788270153600,1600,66.67,4221.87,20251103,0,20251217,19800104,100
8,20251215,코스피,KOSPI시리즈,842,4090.59,-76.57,-1.84,4053.74,4123.19,4052.65,346844575,15438300438426,3373508123630625,1691,70.48,4221.87,20251103,0,20251216,19800104,100
9,20251212,코스피,KOSPI시리즈,842,4167.16,56.54,1.38,4123.83,4168.17,4120.73,426616335,16545774986825,3435670897662502,1768,73.67,4221.87,20251103,0,20251215,19800104,100
10,20251211,코스피,KOSPI시리즈,842,4110.62,-24.38,-.59,4163.32,4170.77,4103.2,539843372,20308402514420,3389085400995160,1711,71.31,4221.87,20251103,0,20251212,19800104,100
11,20251210,코스피,KOSPI시리즈,842,4135,-8.55,-.21,4159.05,4172.64,4123.6,317901549,12625782614479,3408198244933671,1736,72.33,4221.87,20251103,0,20251211,19800104,100
12,20251209,코스피,KOSPI시리즈,842,4143.55,-11.3,-.27,4129.77,4152.18,4121.21,400643400,13328759163343,3415203834522782,1744,72.68,4221.87,20251103,0,20251210,19800104,100
13,20251208,코스피,KOSPI시리즈,842,4154.85,54.8,1.34,4109.25,4154.85,4081.26,395582936,15207838759256,3424712364436096,1755,73.16,4221.87,20251103,0,20251209,19800104,100
14,20251205,코스피,KOSPI시리즈,842,4100.05,71.54,1.78,4023.5,4100.05,4003.29,478512573,16308814953657,3380661222188895,1701,70.87,4221.87,20251103,0,20251208,19800104,100
15,20251204,코스피,KOSPI시리즈,842,4028.51,-7.79,-.19,4018.91,4028.53,3982.54,352043273,13716192682125,3321694379554629,1629,67.89,4221.87,20251103,0,20251205,19800104,100
16,20251203,코스피,KOSPI시리즈,842,4036.3,41.37,1.04,4010.26,4052.83,3987.76,290896486,13375747628074,3326804886983061,1637,68.21,4221.87,20251103,0,20251204,19800104,100
17,20251202,코스피,KOSPI시리즈,842,3994.93,74.56,1.9,3939.09,3994.93,3935.14,319034908,12439175118986,3293510638975859,1595,66.49,4221.87,20251103,0,20251203,19800104,100
18,20251201,코스피,KOSPI시리즈,842,3920.37,-6.22,-.16,3967.92,3977.31,3892.08,296914679,11805572699555,3232050936063668,1521,63.38,4221.87,20251103,0,20251202,19800104,100
19,20251128,코스피,KOSPI시리즈,842,3926.59,-60.32,-1.51,3995.3,3995.3,3921.89,241922807,11927326021478,3235761043400269,1527,63.64,4221.87,20251103,0,20251201,19800104,100
20,20251127,코스피,KOSPI시리즈,843,3986.91,26.04,.66,3989.45,4023.42,3968.43,257854943,13008961064052,3286294870613815,1587,66.16,4221.87,20251103,0,20251128,19800104,100
21,20251126,코스피,KOSPI시리즈,844,3960.87,103.09,2.67,3891.88,3960.87,3866.66,295326951,15777742925834,3265922270499562,1561,65.07,4221.87,20251103,0,20251127,19800104,100
22,20251125,코스피,KOSPI시리즈,844,3857.78,11.72,.3,3942.36,3946.61,3833.35,279293988,13275808347538,3180590413000717,1458,60.77,4221.87,20251103,0,20251126,19800104,100
23,20251124,코스피,KOSPI시리즈,842,3846.06,-7.2,-.19,3915.16,3917.16,3838.2,373120108,21411253137675,3169272356467234,1447,60.29,4221.87,20251103,0,20251125,19800104,100
24,20251121,코스피,KOSPI시리즈,842,3853.26,-151.59,-3.79,3908.7,3911.55,3838.46,319324121,14166906140808,3168593846191949,1454,60.59,4221.87,20251103,0,20251124,19800104,100
25,20251120,코스피,KOSPI시리즈,843,4004.85,75.34,1.92,4030.97,4059.37,4001.31,360281733,15143579448126,3293299591248162,1605,66.9,4221.87,20251103,0,20251121,19800104,100
26,20251119,코스피,KOSPI시리즈,843,3929.51,-24.11,-.61,3966.64,3966.64,3854.95,338241537,14586911018135,3230586001015168,1530,63.76,4221.87,20251103,0,20251120,19800104,100
27,20251118,코스피,KOSPI시리즈,843,3953.62,-135.63,-3.32,4044.47,4072.41,3953.26,319659628,14077477816697,3251067247971822,1554,64.77,4221.87,20251103,0,20251119,19800104,100
28,20251117,코스피,KOSPI시리즈,843,4089.25,77.68,1.94,4078.57,4089.88,4045.4,344096599,14352976610800,3363116830407584,1690,70.42,4221.87,20251103,0,20251118,19800104,100
29,20251114,코스피,KOSPI시리즈,843,4011.57,-159.06,-3.81,4061.91,4092.76,4011.4,399992380,17968602377429,3298648291977145,1612,67.18,4221.87,20251103,0,20251117,19800104,100
30,20251113,코스피,KOSPI시리즈,843,4170.63,20.24,.49,4127.57,4188.54,4123.84,424188608,17517048400982,3430213936916230,1771,73.81,4221.87,20251103,0,20251114,19800104,100
31,20251112,코스피,KOSPI시리즈,843,4150.39,44,1.07,4097.44,4154.62,4088.86,334584453,15670659198860,3413518794879764,1751,72.97,4221.87,20251103,0,20251113,19800104,100
32,20251111,코스피,KOSPI시리즈,843,4106.39,33.15,.81,4124.3,4187.46,4066.58,377553974,20118818678387,3378037314926242,1707,71.14,4221.87,20251103,0,20251112,19800104,100
33,20251110,코스피,KOSPI시리즈,843,4073.24,119.48,3.02,3991.87,4092.91,3984.24,339514007,16685675541574,3349850858814010,1674,69.75,4221.87,20251103,0,20251111,19800104,100
34,20251107,코스피,KOSPI시리즈,843,3953.76,-72.69,-1.81,3963.72,4037.61,3887.32,377049668,18794295713216,3252007791121429,1554,64.78,4221.87,20251103,0,20251110,19800104,100
35,20251106,코스피,KOSPI시리즈,843,4026.45,22.03,.55,4092.46,4111.96,3985.29,423420832,21483948611420,3311622923440594,1627,67.8,4221.87,20251103,0,20251107,19800104,100
36,20251105,코스피,KOSPI시리즈,843,4004.42,-117.32,-2.85,4055.47,4055.47,3867.81,594162840,29186234065822,3294411883299844,1605,66.89,4221.87,20251103,0,20251106,19800104,100
37,20251104,코스피,KOSPI시리즈,843,4121.74,-100.13,-2.37,4219.24,4226.75,4117.91,423542560,20785686586392,3392104995408260,1722,71.78,4221.87,20251103,0,20251105,19800104,100
38,20251103,코스피,KOSPI시리즈,843,4221.87,114.37,2.78,4123.36,4221.92,4123.36,472676323,22728714597138,3477046106115597,1822,75.95,4221.87,20251103,0,20251104,19800104,100
39,20251031,코스피,KOSPI시리즈,843,4107.5,20.61,.5,4083.25,4122.09,4059.74,408275232,22950424588062,3383447874399935,1708,71.18,4107.5,20251031,0,20251103,19800104,100
40,20251030,코스피,KOSPI시리즈,843,4086.89,5.74,.14,4105.95,4146.72,4070.79,566538268,24198286552685,3364689797640767,1687,70.32,4086.89,20251030,0,20251031,19800104,100
41,20251029,코스피,KOSPI시리즈,843,4081.15,70.74,1.76,4061.54,4084.09,4014.84,466898421,22033182304082,3357610183598751,1682,70.08,4081.15,20251029,0,20251030,19800104,100
42,20251028,코스피,KOSPI시리즈,843,4010.41,-32.42,-.8,4010.47,4018.22,3972.56,408224732,19719872621077,3298578950794474,1611,67.14,4042.83,20251027,0,20251029,19800104,100
43,20251027,코스피,KOSPI시리즈,843,4042.83,101.24,2.57,3999.79,4042.83,3999.79,516998547,20122806110920,3325893588152838,1643,68.49,4042.83,20251027,0,20251028,19800104,100
44,20251024,코스피,KOSPI시리즈,844,3941.59,96.03,2.5,3893.23,3951.07,3886.64,426896560,17800793870343,3242987677820676,1542,64.27,3941.59,20251024,0,20251027,19800104,100
45,20251023,코스피,KOSPI시리즈,844,3845.56,-38.12,-.98,3835.79,3902.21,3822.33,423588471,16255705645739,3164799754839550,1446,60.27,3883.68,20251022,0,20251024,19800104,100
46,20251022,코스피,KOSPI시리즈,844,3883.68,59.84,1.56,3827.23,3883.68,3794.52,597215988,15451168656133,3197177009086480,1484,61.85,3883.68,20251022,0,20251023,19800104,100
47,20251021,코스피,KOSPI시리즈,844,3823.84,9.15,.24,3851.01,3893.06,3816.19,526854280,19373490542844,3150160277294047,1424,59.36,3823.84,20251021,0,20251022,19800104,100
48,20251020,코스피,KOSPI시리즈,844,3814.69,65.8,1.76,3775.4,3814.69,3728.38,410146751,14190573342156,3141020446206737,1415,58.98,3814.69,20251020,0,20251021,19800104,100
49,20251017,코스피,KOSPI시리즈,844,3748.89,.52,.01,3732.76,3794.87,3722.07,420769792,17268693077595,3086895728948205,1349,56.24,3748.89,20251017,0,20251020,19800104,100
50,20251016,코스피,KOSPI시리즈,844,3748.37,91.09,2.49,3675.82,3748.37,3675.82,495790790,17664818382797,3086315775634677,1349,56.22,3748.37,20251016,0,20251017,19800104,100
51,20251015,코스피,KOSPI시리즈,844,3657.28,95.47,2.68,3580.64,3659.91,3577.06,543606716,13879932193738,3011908107364069,1258,52.42,3657.28,20251015,0,20251016,19800104,100
52,20251014,코스피,KOSPI시리즈,844,3561.81,-22.74,-.63,3604.12,3646.77,3535.52,734084905,18926398057017,2933878249069508,1162,48.44,3610.6,20251010,0,20251015,19800104,100
53,20251013,코스피,KOSPI시리즈,844,3584.55,-26.05,-.72,3550.08,3584.55,3522.54,408033131,14270855613049,2952828804530513,1185,49.39,3610.6,20251010,0,20251014,19800104,100
54,20251010,코스피,KOSPI시리즈,844,3610.6,61.39,1.73,3598.11,3617.86,3569.44,407410846,19600845152565,2974646441764439,1211,50.47,3610.6,20251010,0,20251013,19800104,100
55,20251002,코스피,KOSPI시리즈,844,3549.21,93.38,2.7,3525.48,3565.96,3512.16,402107231,19456116765360,2922226398313787,1150,47.92,3549.21,20251002,0,20251010,19800104,100
56,20251001,코스피,KOSPI시리즈,843,3455.83,31.23,.91,3444.06,3459.74,3440.42,493641155,12344643388616,2845543746980053,1056,44.02,3486.19,20250923,0,20251002,19800104,100
57,20250930,코스피,KOSPI시리즈,843,3424.6,-6.61,-.19,3436,3443.38,3421.89,526401520,11157443411281,2817769969229231,1025,42.72,3486.19,20250923,0,20251001,19800104,100
58,20250929,코스피,KOSPI시리즈,844,3431.21,45.16,1.33,3414.43,3439.12,3413.33,416480046,10008858561135,2824950733618843,1032,43,3486.19,20250923,0,20250930,19800104,100
59,20250926,코스피,KOSPI시리즈,844,3386.05,-85.06,-2.45,3440.39,3441.91,3365.73,399149806,12606212195076,2787520691990662,987,41.12,3486.19,20250923,0,20250929,19800104,100
60,20250925,코스피,KOSPI시리즈,844,3471.11,-1.03,-.03,3458.98,3479.42,3454.08,293074983,12640781197188,2857634253445223,1072,44.66,3486.19,20250923,0,20250926,19800104,100
61,20250924,코스피,KOSPI시리즈,845,3472.14,-14.05,-.4,3492.03,3497.95,3442.41,287145415,11806998240931,2858429845707367,1073,44.7,3486.19,20250923,0,20250925,19800104,100
62,20250923,코스피,KOSPI시리즈,845,3486.19,17.54,.51,3489.46,3494.49,3467.83,358335419,12152383322121,2869842571401625,1087,45.29,3486.19,20250923,0,20250924,19800104,100
63,20250922,코스피,KOSPI시리즈,845,3468.65,23.41,.68,3463.84,3482.25,3458.87,287867235,11996187013111,2855488314793656,1069,44.56,3468.65,20250922,0,20250923,19800104,100
64,20250919,코스피,KOSPI시리즈,845,3445.24,-16.06,-.46,3461.23,3467.89,3434.61,348844702,15111282864331,2834490035669669,1046,43.58,3461.3,20250918,0,20250922,19800104,100
65,20250918,코스피,KOSPI시리즈,845,3461.3,47.9,1.4,3432.77,3461.3,3422.77,391177053,12409116590064,2848188126349412,1062,44.25,3461.3,20250918,0,20250919,19800104,100
66,20250917,코스피,KOSPI시리즈,845,3413.4,-36.22,-1.05,3433.83,3433.83,3406.75,326609906,11611597358894,2808274005979516,1014,42.26,3449.62,20250916,0,20250918,19800104,100
67,20250916,코스피,KOSPI시리즈,845,3449.62,42.31,1.24,3421.13,3452.5,3418.1,406214278,14058944540679,2838180010916733,1050,43.76,3449.62,20250916,0,20250917,19800104,100
68,20250915,코스피,KOSPI시리즈,845,3407.31,11.77,.35,3407.78,3420.23,3391.33,378854245,12792738454649,2802795681701775,1008,42,3407.31,20250915,0,20250916,19800104,100
69,20250912,코스피,KOSPI시리즈,845,3395.54,51.34,1.54,3374.65,3395.54,3362.86,448857492,13932277217565,2792432470702270,996,41.51,3395.54,20250912,0,20250915,19800104,100
70,20250911,코스피,KOSPI시리즈,845,3344.2,29.67,.9,3336.6,3344.7,3311.86,435588829,14947009019240,2750487884332290,945,39.37,3344.2,20250911,0,20250912,19800104,100
71,20250910,코스피,KOSPI시리즈,846,3314.53,54.48,1.67,3272.2,3317.77,3272.07,564706848,13703544856383,2726778752216321,915,38.13,3314.53,20250910,0,20250911,19800104,100
72,20250909,코스피,KOSPI시리즈,846,3260.05,40.46,1.26,3231.31,3260.05,3221.98,439945501,10628640888119,2682471396020302,861,35.86,3260.05,20250909,0,20250910,19800104,100
